Case,Document Type,Field,Legacy Extracted,Docling Extracted,Status
case2,plankart,AD,True,False,Mismatch
case2,plankart,APM,True,False,Mismatch
case2,plankart,BSM1,True,True,Match
case2,plankart,BSM2,True,True,Match
case2,plankart,DATOSIGN,True,False,Mismatch
case2,plankart,F42,False,True,Mismatch
case2,plankart,GV,True,False,Mismatch
case2,plankart,H140,False,True,Mismatch
case2,plankart,H320,False,True,Mismatch
case2,plankart,N6489400,False,True,Mismatch
case2,plankart,N6489600,False,True,Mismatch
case2,plankart,N6489800,False,True,Mismatch
case2,plankart,N6490000,False,True,Mismatch
case2,plankart,N6490200,False,True,Mismatch
case2,plankart,N6490400,False,True,Mismatch
case2,plankart,SAKSBEHANDLINGETTERPLANOGBYGNINGSLOVEN,True,False,Mismatch
case2,plankart,SKV1,True,True,Match
case2,plankart,SKV2,True,True,Match
case2,plankart,SVG1,True,True,Match
case2,plankart,SVG2,True,True,Match
case2,plankart,SVG3,True,True,Match
case2,plankart,VAA,True,False,Mismatch
case2,plankart,VNV1,True,True,Match
case2,plankart,Ø424400,False,True,Mismatch
case2,plankart,Ø424600,False,True,Mismatch
case2,plankart,Ø424800,False,True,Mismatch
case2,plankart,Ø425000,False,True,Mismatch
case2,plankart,Ø425200,False,True,Mismatch
case2,plankart,Ø425400,False,True,Mismatch
case2,plankart,Ø425600,False,True,Mismatch
case2,bestemmelser,BSM1,False,True,Mismatch
case2,bestemmelser,BSM2,False,True,Mismatch
case2,bestemmelser,FV42,True,False,Mismatch
case2,bestemmelser,GV,True,False,Mismatch
case2,bestemmelser,H140,True,True,Match
case2,bestemmelser,H320,True,True,Match
case2,bestemmelser,SKV1,True,True,Match
case2,bestemmelser,SKV2,True,True,Match
case2,bestemmelser,VAA,True,False,Mismatch
case2,sosi,BSM1,True,False,Mismatch
case2,sosi,BSM2,True,False,Mismatch
case2,sosi,GV,True,False,Mismatch
case2,sosi,LL1,True,False,Mismatch
case2,sosi,LL10,True,False,Mismatch
case2,sosi,LL11,True,False,Mismatch
case2,sosi,LL12,True,False,Mismatch
case2,sosi,LL13,True,False,Mismatch
case2,sosi,LL14,True,False,Mismatch
case2,sosi,LL15,True,False,Mismatch
case2,sosi,LL16,True,False,Mismatch
case2,sosi,LL17,True,False,Mismatch
case2,sosi,LL18,True,False,Mismatch
case2,sosi,LL19,True,False,Mismatch
case2,sosi,LL2,True,False,Mismatch
case2,sosi,LL20,True,False,Mismatch
case2,sosi,LL21,True,False,Mismatch
case2,sosi,LL22,True,False,Mismatch
case2,sosi,LL23,True,False,Mismatch
case2,sosi,LL3,True,False,Mismatch
case2,sosi,LL4,True,False,Mismatch
case2,sosi,LL5,True,False,Mismatch
case2,sosi,LL6,True,False,Mismatch
case2,sosi,LL7,True,False,Mismatch
case2,sosi,LL8,True,False,Mismatch
case2,sosi,LL9,True,False,Mismatch
case2,sosi,SKV1,True,False,Mismatch
case2,sosi,SKV2,True,False,Mismatch
case2,sosi,SVG1,True,False,Mismatch
case2,sosi,SVG10,True,False,Mismatch
case2,sosi,SVG11,True,False,Mismatch
case2,sosi,SVG2,True,False,Mismatch
case2,sosi,SVG3,True,False,Mismatch
case2,sosi,SVG4,True,False,Mismatch
case2,sosi,SVG5,True,False,Mismatch
case2,sosi,SVG6,True,False,Mismatch
case2,sosi,SVG7,True,False,Mismatch
case2,sosi,SVG8,True,False,Mismatch
case2,sosi,SVG9,True,False,Mismatch
case2,sosi,SVT1,True,False,Mismatch
case2,sosi,SVT2,True,False,Mismatch
case2,sosi,VAA,True,False,Mismatch
case2,sosi,VFS1,True,False,Mismatch
case2,sosi,VFS10,True,False,Mismatch
case2,sosi,VFS11,True,False,Mismatch
case2,sosi,VFS12,True,False,Mismatch
case2,sosi,VFS13,True,False,Mismatch
case2,sosi,VFS14,True,False,Mismatch
case2,sosi,VFS15,True,False,Mismatch
case2,sosi,VFS16,True,False,Mismatch
case2,sosi,VFS17,True,False,Mismatch
case2,sosi,VFS2,True,False,Mismatch
case2,sosi,VFS3,True,False,Mismatch
case2,sosi,VFS4,True,False,Mismatch
case2,sosi,VFS5,True,False,Mismatch
case2,sosi,VFS6,True,False,Mismatch
case2,sosi,VFS7,True,False,Mismatch
case2,sosi,VFS8,True,False,Mismatch
case2,sosi,VFS9,True,False,Mismatch
case2,sosi,VNV1,True,False,Mismatch
case2,sosi,VNV2,True,False,Mismatch
case2,sosi,VNV3,True,False,Mismatch
